,0,1,2,3,4
0,경제>경제일반 | IT_과학>인터넷_SNS | IT_과학>콘텐츠,2019/06/19,곽희양 기자 huiyang@kyunghyang.com,"LG CNS, 클라우드·블록체인·AI· 로봇 자동화 기술 몽땅 선보여","LG CNS가 기업용 클라우드 관리 플랫폼을 출시했다. AI·빅데이터와 블록체인 플랫폼 등도 같이 선보이면서, 디지털 전환을 꾀하는 기업들의 문을 두드리고 있다.

LG CNS는 19일 서울 강서구 마곡LG사이언스파크에서 신기술 설명회 ‘테크데이 2019’를 열고, 클라우드 통합 관리 플랫폼 ‘클라우드엑스퍼(CloudXper)’를 출시했다고 밝혔다.

클라우드엑스퍼는 각 기업들이 퍼블릭·프라이빗 클라우드를 사용하는 양에 따라 기업들이 내야할 사용료를 분석해준다. 기업들의 클라우드 사용료를 줄여주는 것이다. 또 기업들이 클라우드를 얼마만큼 사용하고 있는지 한 눈에 볼 수 있도록 맞춤형 대시보드도 제공한다.

LG CNS는 5년 내에 LG그룹 계열사들의 IT시스템 90% 이상을 클라우드로 전환하는 작업을 진행하고 있다. 또 엠보틱스, 슬라럼 등 해외 클라우드 기업과 메가존, 오픈소스컨설팅 등 국내 기업과 공동 기술 개발도 이어가고 있다.

이날 AI·빅데이터 플랫폼 ‘디에이피(DAP) 2.0’도 공개됐다. 빅데이터 분석 중심이었던 기존 ‘디에이피 1.0’에 머신러닝·딥러닝 기반의 AI분석 기능을 확대한 버전이다. LG CNS는 디에이피 플랫폼을 통해 제조공장의 부품 불량 검사를 수행하는 모습과, 카드사의 이상거래나 보험사의 부당청구를 파악하는 모습을 소개했다.

LG CNS는 또 2년간 진행했던 로봇 프로세스 자동화(RPA·기계에 의한 단순 반복 업무 수행) 프로젝트의 기술을 소개했다. 매일 1000건씩 발생하는 송장 입력, 상품 판매매장의 매출 데이터 주출, 급여 지급후 검증하는 업무에 로봇 프로세스 자동화를 적용해왔다고 LG CNS측은 설명했다. 임은영 RPA플랫폼팀장“문장 의미나 이미지 분석 등의 기술이 더해진 ‘RPA+AI’라는 개념을 적용한 LG CNS의 솔루션 개발 계획”이라고 밝혔다.

이밖에 기업용 블록체인 플랫폼 ‘모나체인(Monachain)’도 공개했다. 모나체인은 지역화폐 서비스, 지문 등 생체정보를 통한 모바일 디지털 신분증, 위변조 없는 문서 이력관리 등의 서비스를 제공한다.

LG CNS 관계자는 “전 산업영역에서 디지털 전환은 거스를 수 없는 대세로 자리잡고 있다”며 “고객들이 업무에 즉시 적용 가능한 IT신기술을 찾을 수 있도록 기회를 제공할 것”이라고 밝혔다.

곽희양 기자 huiyang@kyunghyang.com"
1,경제>금융_재테크 | 경제>무역,2019/06/18,유희곤 기자 hulk@kyunghyang.com,IT로 외환 법규 위반 막고…AI로 사모펀드 약관 심사,"ㆍ금감원 ‘레그테크’ 활용한 시스템…상담 단계서 규정 준수 미리 안내
ㆍ인공지능 약관 분석, 금감원 확인
ㆍ‘섭테크’ 연 6800여건 심사 효율화

첨단 정보기술(IT)을 활용해 금융소비자나 은행 직원의 외국환거래법 위반을 막고 사모펀드 약관을 심사하는 시스템이 각각 도입된다. 금융감독원은 18일 ‘레그테크(RegTech)’를 활용한 ‘위규(법규 위반) 외국환거래 방지시스템’을 국내은행 12곳과 공동으로 하반기에 구축할 예정이라고 밝혔다. 레그테크란 ‘규제(regulation)’와 ‘기술(technology)’의 합성어로 금융회사의 내부 통제나 법규 준수를 IT를 활용해 자동화한 기법을 뜻한다.

금감원은 해외 직접투자, 부동산 거래, 예금 등 외국환거래 시 신고나 보고 대상인데도 신고하지 않을 경우 소비자와 은행에 제재를 하고 있다. 위반액이 10억원 이하일 경우 경고, 과태료, 거래정지 처분이 부과되고, 10억원 초과 시에는 검찰에 통보한다. 제재 건수는 2016년 567건에서 지난해 1279건으로 2배 이상 증가했다.

금감원은 소비자(개인, 기업)나 은행 직원이 법률 지식이 부족하거나 부주의해 규정을 위반하는 사례를 줄이기 위해 위규 방지 시스템을 도입하기로 했다. 시스템이 만들어지면 은행은 소비자 상담 단계부터 신고대상 여부, 법규 위반 이력을 확인해 고객에게 안내할 수 있다. 지금까지 영업점에 떠넘기거나 우편 발송에 그쳤던 보고기일 안내 및 기일 초과 시 위반 사항 안내도 체계화된다. 금감원은 소비자 피해도 줄이고 당국도 외국환업무 취급 금융사에 대한 검사 등 본연의 업무에 집중할 수 있을 것으로 기대하고 있다.

‘섭테크(SupTech)’를 활용한 사모펀드 약관 심사지원 시스템도 연말까지 개발된다. 섭테크는 ‘금융감독(supervision)’과 ‘기술’의 합성어로 인공지능(AI), 빅데이터 등 최신 기술을 금융감독 업무에 접목한 기법이다. AI 기술 중 하나인 기계독해를 이용해 사모펀드가 신고한 약관을 스스로 분석하고 체크리스트에 최적의 답안을 1차로 판단하면 금감원 직원이 이를 확인하는 방식이다.

금감원은 AI 엔진을 활용하면 연간 6800여건에 이르는 사모펀드 심사 업무가 효율적으로 진행될 것으로 예상하고 있다. 금감원은 이번달 중 시스템 개발을 담당할 외부 사업자를 선정하기로 했다. 시스템 효과가 입증되면 다른 업권의 약관심사로도 적용 범위를 확대할 예정이다.

유희곤 기자 hulk@kyunghyang.com"
2,정치>외교,2019/06/18,정희완 기자 roses@kyunghyang.com,"육군, 간부 선발에 AI 면접 도입","육군이 최근 민간기업 및 공공기관 등에서 활용되고 있는 인공지능(AI) 면접체계를 간부 선발 과정에 도입한다.

육군은 18일 “미래 첨단과학기술군을 이끌어갈 우수 인재 선발을 위해 이달부터 간부 선발 과정에 AI 면접체계를 시범 적용한다”고 밝혔다.

육군은 우선 부사관 장기복무 선발 등 약 1만여명에 대해 시범 적용한 뒤, 별다른 문제점이 나타나지 않는다면 2022년까지 간부 선발 전 과정에 AI 면접체계를 도입할 방침이다.

AI 면접은 지원자가 웹캠과 마이크가 설치된 인터넷 PC를 통해 분야별 5개 내외의 게임을 수행하는 방식으로 이뤄진다. 지원자별 특성과 성향을 파악하기 위한 ‘상황질문’과 ‘핵심질문’도 진행된다. 시간은 60분 이내로, AI 면접 결과는 자동으로 분석돼 선발부서에 제공된다.

육군은 “AI 면접체계의 가장 큰 장점은 인터넷이 연결된 PC를 활용해 공간이나 시간의 제약없이 정해진 기간 내에 언제든 응시할 수 있다는 것”이라며 “평가시간 동안 지원자의 표정, 음성, 어휘, 심장박동 등 다양한 분석요소를 바탕으로 객관적이고 세분된 평가를 할 수 있다”고 설명했다.

재직 중인 근무자를 대상으로 AI 면접평가를 시행하면 우수 근무자 패턴을 추출해 분야별 조직에 적합한 대상자도 선별해 낼 수 있다고 육군은 밝혔다.

육군인사사령부는 AI 면접체계 도입을 위해 지난해부터 민간기관을 방문해 성과를 확인하고, 선발업무 담당자와 야전부대 장병 400여명을 대상으로 면접 정확도를 검증했다.

육군은 “올해는 기존 면접방식으로 진행한 결과와 비교 분석해 시스템을 구축하는 데이터로만 활용하고 2020년 이후 AI 정확도를 고려해 점진적으로 평가 배점을 반영해나갈 예정”이라고 밝혔다.

정희완 기자 roses@kyunghyang.com"
3,경제>반도체 | IT_과학>보안,2019/06/10,임지선 기자 vision@kyunghyang.com,"AI 전문가 김영한 UCSD 교수, SK하이닉스 수석연구원으로","SK하이닉스는 반도체 산업의 인공지능(AI) 역량을 강화하기 위해 최근 세계적인 데이터 전문가를 영입했다고 10일 밝혔다.

SK하이닉스는 김영한 샌디에이고 캘리포니아대(UCSD) 교수(사진)를 수석 연구위원(전무)으로 영입하고 AI 기반 업무 조직을 강화했다. 김 연구위원은 2015년 전자업계 세계 최고 학술단체인 미국전기전자공학회(IEEE) 석학회원으로 선정된 세계적인 데이터 사이언스 전문가다. 그는 2008년 미국과학재단 신진과학연구상, 2012년 IEEE 정보이론 논문상을 받았으며 글로벌 정보기술 기업들과 데이터 분석 및 시스템 최적화와 관련한 산학 연구를 진행했다.

SK하이닉스는 이번 김 연구위원 영입에 맞춰 데이터 리서치 조직 등을 신설했다. SK하이닉스는 “AI 기반 업무 시스템을 재구축함으로써 데이터 중심의 경영을 한 차원 높이는 역할을 하게 될 것”이라고 말했다.

SK하이닉스는 10∼15일 미 캘리포니아에서 열리는 국제머신러닝학회에 홍보부스를 열어 우수 인재를 유치할 예정이다.

임지선 기자 vision@kyunghyang.com"
4,IT_과학>보안 | IT_과학>모바일 | IT_과학>콘텐츠,2019/06/06,박병률 기자 mypark@kyunghyang.com,[은행권이 주목한 청년 스타트업](7)기업 잘되는지 빅데이터·AI로 상세하게 진단,"ㆍ이혜영 알스피릿 대표



재무·주가·경기 이상 등 분석하는
기업 예측콘텐츠 ‘나우모멘트’ 개발

어디에든 흔적 남긴 경영활동 정보
뉴스부터 날씨·SNS 등에서 찾아
유의미한 자료로 가공해 서비스

공시된 재무제표만으로는 한 기업의 상태를 속속들이 알기 어렵다. 확실한 내부자가 아니고서는 해당 기업이 얼마나 잘 돌아가고 있는지를 정확히 알 수 없다. 투자가 어려운 이유다. 하지만 기업활동은 어디에서나 흔적을 남긴다.

“공시된 재무제표뿐 아니라 정치·무역 뉴스, 경제통계, 사회관계망서비스(SNS), 심지어 날씨에도 기업에 대한 정보가 숨어 있어요. 여기에서 기업에 대한 정보를 추출하면 기업 현황을 좀 더 심층적으로 알 수 있죠.”

인공지능 기반의 데이터 분석 서비스 스타트업인 ‘알스피릿’의 이혜영 대표는 개발 중인 상장기업 진단예측 콘텐츠 ‘나우모멘트 컴퍼니’의 개념을 이같이 설명했다. 이 대표는 “예를 들어 참치가 주력인 어떤 회사는 오징어 수입가격에 따라 매출구조가 변화한다”며 “기업마다 비즈니스에서 외부영향을 많이 받는다”고 말했다. 이 대표를 지난달 28일 서울 서대문구 기상기업성장지원센터에서 만났다.

2017년 창업한 알스피릿은 과학기술정보통신부의 ‘2018 K-글로벌 300’ 기업으로 선정됐다. 빅데이터에서 유용한 정보를 추출하고 이를 인공지능 알고리즘으로 해석해 부가가치가 높은 정보를 제공하는 것이 비즈니스 모델이다. 사명인 알스피릿은 ‘인공지능 세대를 위해 진실된 혼(Real Spirit for A.I Generation)’을 담은 데이터 분석으로 혁신을 추구하자는 의미를 담고 있다.

이 대표는 “어느 산업에서나 데이터가 생성되고, 그 데이터들에서 의미 있는 정보를 빼낼 수 있기 때문에 저희는 특정 산업에 한정돼 일하지 않는다”며 “그중 하나가 핀테크 솔루션”이라고 말했다.

알스피릿이 2차 버전 개발에 들어간 ‘나우모멘트 컴퍼니’는 상장 기업에 대한 외·내부 데이터(재무, 비재무, 공공데이터·뉴스·SNS)를 활용해 기업을 진단하고 성장성을 예측한다. 1차버전에서 개발된 주가·매출예측, 업종별 영향지표, 날씨경영, 경기이상 예측 또한 분석모델로 제공된다.

나우모멘트 컴퍼니는 오는 8월부터 서비스가 제공된다. 우리은행은 직접 나우모멘트를 써본 뒤 검증 피드백을 줄 예정이다. 알스피릿은 우리은행이 핀테크 분야 유망 기술을 보유한 스타트업을 1년간 지원하는 ‘위비핀테크랩’ 4기다.

이 대표는 “나우모멘트는 우선 B2C(소비자용)용으로 시작한 뒤 별도 회원제로 B2B(회사용)용을 출시할 예정”이라며 “다만 기업을 연구하는 연구원을 위해서는 처리 전 자료를 무료로 제공할 생각도 갖고 있다”고 말했다. 알스피릿은 연구소기업 설립을 고려해 대전지역에 본사를 뒀다. 지금은 인력 확보, 제품 서비스 검증을 위해 서울·경기에서 활동하고 있으며 대전의 연구소기업 설립은 계속 추진 중이다.

소프트웨어 공학을 전공한 이 대표는 “인공지능 연구를 했지만 당시에는 연구역량이 안된다고 생각해 산업을 직접 체험해보기로 했다”며 “국내 정보기술(IT) 기업에서 일하고 인도에서 컨설팅 회사를 창업하면서 기업을 보는 눈이 넓어졌다”고 말했다. 창업을 결심한 그는 이탈리아 밀라노 공대에서 빅데이터 경영학석사 과정을 마친 뒤 귀국해 스타트업 인큐베이팅 공공기관에서 잠시 근무했다.

알스피릿은 바이오 등 여러 분야에서 데이터 기반 서비스를 개발할 예정이다. 이 대표는 “데이터는 제품개발뿐 아니라 비즈니스 개선을 위한 핵심 정보를 발굴하는 원천”이라며 “데이터 분석을 필요로 하는 산업과 언제든 협업할 준비가 돼 있다”고 말했다.

박병률 기자 mypark@kyunghyang.com"
5,IT_과학>과학,2019/06/06,최미랑 기자 rang@kyunghyang.com,"서울, 인공지능 미래 먹거리 산업 더 키운다","ㆍ약 먹을 시간 알려주는 인형, 원하는 사람 목소리·다국어로 변환…



양재동 ‘혁신허브’ 공간 확대
연내 입주기업 현재의 3배로
시 “특구 지정은 무산됐지만
스타트업 첨단기술 적극 지원”

화면에 문구를 입력하고 ‘할아버지’ 캐릭터를 눌렀더니 어르신 목소리의 오디오가 흘러나왔다. ‘기자’를 선택하니 뉴스 진행자 같은 말투의 오디오 콘텐츠를 쉽게 얻을 수 있었다. 음성합술 기술을 개발하는 스타트업 네오사피엔스가 최근 선보인 ‘타입캐스트’ 서비스다. 네오사피엔스는 인공지능이 사람 육성 원본을 딥러닝해 한국어뿐만 아니라 다른 언어도 그 사람 목소리로 구사할 수 있게 하는 기술을 개발해왔다. 최근에는 3분짜리 백범 김구 육성 자료를 토대로 음성을 복원하는 데 성공했다. “내가 좋아하는 연예인의 목소리로 오디오북을 들을 수 있다면 어떨까요.” 김태수 네오사피엔스 대표는 이 기술을 미디어·엔터테인먼트와 접목하면 사업성이 클 것으로 내다본다.

네오사피엔스는 서울 서초구 양재동 ‘양재 R&CD 혁신허브’(이하 혁신허브)에 사무실을 두고 있다. 이곳은 서울시 최초의 ‘인공지능 센터’로 2017년 10월 문을 열었다. 한국교원총연합회 회관 4개 층에 인공지능 스타트업을 위한 사무실과 공유공간을 조성했다. 카이스트와 모두의연구소가 공동으로 운영을 맡아 인공지능 관련 교육과 기술연계 프로그램도 제공한다.

입주한 지 1년 되는 스튜디오크로스컬쳐는 노인 돌봄 사물인터넷 인형을 개발하는 업체다. “할머니, 약 드실 시간이에요.” “할아버지, 오늘은 병원에 가시는 날이에요.” 통신 단말기가 내재된 인형은 보호자가 모바일 애플리케이션을 통해 입력해 둔 일정을 시간에 맞춰 어르신에게 알린다. 손을 잡거나 머리를 쓰다듬으면 소리를 내 반응을 보이기도 하고, 사용자의 움직임이 오랫동안 감지되지 않으면 응급 상황으로 인식하고 보호자에게 메시지를 보내는 기능도 있다. 지금은 정해진 시나리오에 따라 일방적으로 말을 할 뿐 사용자의 말을 알아듣지는 못하는데, 인공지능을 이용해 대화 패턴을 학습시켜 양방향 소통이 이뤄지도록 만드는 것이 스튜디오크로스컬쳐의 목표다.

혁신허브에는 현재 이 두 기업을 포함해 스타트업 20여곳이 입주해 있다. 금융, 바이오, 교육 등 분야도 다양하다. 입주 기업들은 저렴한 입주 비용과 기술·정보 교류가 초기 기업에 큰 도움이 된다고 말한다.

서울시는 양재·우면 일대에 ‘R&CD(연구·개발 및 산업생태계) 혁신지구’를 조성 중이다. 지구 내 첫 앵커시설인 혁신허브에 이어 양곡도매시장 부지(3만2000㎡)에는 앞으로 ‘양재 R&CD 캠퍼스’를 조성할 계획으로 현재 관련 용역을 진행 중이다.

당초 시는 서초구·강남구와 함께 이 일대를 지역특화발전 특구로 지정하고자 했다. 그러나 ‘서울 강남지역을 지정하는 것은 지역균형발전의 취지에 부합하지 않고 부동산 시장에 영향을 줄 수 있다’는 이유로 중소벤처기업부 심의를 통과하지 못했다. 서울시 관계자는 “특구 지정은 무산됐으나 국내 스타트업들이 세계 인공지능 기술 경쟁에서 뒤지지 않도록 적극 지원할 것”이라고 말했다.

시는 올해 양재동 하이브랜드몰 일부를 추가로 임차하는 등 혁신허브 공간을 계속 늘릴 계획이다. 입주기업을 연내 현재의 세 배 정도로 늘릴 구상을 하고 있다.

최미랑 기자 rang@kyunghyang.com"
6,지역>전북 | 지역>충남 | 지역>강원,2019/06/04,최승현 기자 cshdmz@kyunghyang.com,[동해시]“해수욕장에 AI 기반 지능형 CCTV 설치”…망상·추암 등 3곳서 시범운영,"강원 동해시는 올 여름부터 망상, 추암, 망상리조트 등 3개 해수욕장에서 ‘인공지능(AI) 기반 지능형 CCTV’를 활용한 해변 안전감시 사전대응 시스템을 시범 운영한다고 4일 밝혔다.

이 CCTV는 입수금지구역, 입영 경계선 침범과 야간 입수자를 자동 감지해 위험 상황이 발생하면 실시간으로 경보 방송을 실시하는 인공지능 영상분석 기술을 갖추고 있다.

또 정보통신 기술(ICT)을 활용, 안전요원의 감시 사각지대에서 일어나는 위험 상황을 감지해 소방서, 해양경찰서 등 관계기관과 실시간으로 영상을 공유해 사고 발생시 골든타임 확보와 신속한 구조에 큰 도움이 될 것으로 보인다.

동해시는 지난해 7월 추암해수욕장에서 50대 남성이, 2017년 6월 망상해수욕장에서 20대 형제가 너울성 파도에 목숨을 잃는 안타까운 사고가 발생하자 해수욕장의 물놀이 안전사고를 효율적으로 예방하기 위해 재난특별교부세 5억원을 들여 ‘인공지능 기반 지능형 CCTV’를 설치키로 했다.

동해시는 3개 해수욕장에 설치된 ‘인공지능 기반 지능형 CCTV’가 본격 운영되면 인명 사고가 크게 줄어들 것으로 기대하고 있다.

최성규 동해시 안전과장은 “앞으로 물놀이 안전 사고가 발생하지 않도록 소규모 해수욕장에도 안전시설을 대폭 확충할 계획”이라고 말했다.

동해시는 본격적인 피서철 이전에 내수면 물놀이 관리지역인 전천, 무릉계곡, 비천 등 3개소와 한섬해변 등 안전관리 미지정 해수욕장 10개소를 대상으로 현장 조사를 실시해 보완이 필요한 안전시설물을 정비할 예정이다.

최승현 기자 cshdmz@kyunghyang.com"
7,IT_과학>모바일 | IT_과학>콘텐츠 | 사회>장애인,2019/06/02,곽희양 기자 huiyang@kyunghyang.com,강사의 말이 스마트폰 속 자막으로··· ‘AI 문자통역’ 확대,"미용 직업교육을 하는 강사가 마이크나 스마트폰을 대고 말한다. 강사의 말은 실시간으로 자막으로 변환돼, 수강생이 쥐고 있는 스마트폰에 보여진다. 자막은 스마트폰뿐 아니라 강의실 내 대형화면이나 TV에 비쳐지기도 한다. 청각장애인이 궁금한 점을 스마트폰에서 문자로 작성하면, 강사의 스마트폰이나 대형화면에 전송된다.

청각장애인을 지원하는 AUD사회적 협동조합과 SK C&C가 지난달 31일 시연한 문자통역서비스 ‘쉐어 톡(Share Talk)’ 앱의 모습이다. 기존 문자통역서비스가 사용자 본인의 스마트폰 내에서만 구동됐던 것과는 달리, 여러 사람들과 공유된다는 게 쉐어 톡의 특징이다. 지난해 청각장애인 바리스타 교육에 시범적용돼 그 안정성을 검증 받기도 했다.

SK C&C는 2일 해당 문자통역서비스를 한국장애인고용공단, 국립한국복지대학교 등 20개 기관과 함께 확대해 나가기로 했다고 밝혔다. 이들 기관은 청각장애인 교육·취업·문화 프로그램에서 쉐어 톡을 활용하고, 쉐어 톡의 전문용어 학습을 위한 음성·녹취 데이터를 수집한다. 예를들어 한국잡월드는 플로리스트, 미용사, 로봇기술자 등 5대 인기 직업체험과정에 쉐어톡을 우선 활용하기로 했다.

쉐어 톡의 보급으로, 청각장애인 의사소통 지원 기술은 한 단계진화하게 됐다. 2014년 AUD사회적 협동조합은 일선학교에 속기사를 파견해, 속기사가 타이핑한 내용을 청각장애인에게 제공하는 서비스를 진행했다. 2016년엔 속기사가 일선학교에 가지 않은채 원격으로 타이핑하는 방식으로 변했고, 이번에는 속기사 없이 AI기술을 활용하는 방식으로 진화했다.

쉐어 톡에서 AI기술을 개발한 SK C&C측은 “디지털 기술로 사회가 필요로 하는 상품과 서비스를 제공하는 것이 기업의 사회적 책임”이라고 밝혔다.

해당 서비스 운영을 총괄하는 AUD사회적 협동조합은 올해 직업체험기관 등에서 쉐어 톡을 운영하고, 향후 박물관과 전시관 등 문화 예술공간으로 그 활용범위를 넓혀갈 계획이다.

곽희양 기자 huiyang@kyunghyang.com"
8,경제>국제경제 | IT_과학>과학 | 경제>반도체,2019/05/29,임지선 기자 vision@kyunghyang.com,‘AI 연구의 성지’ 캐나다로 글로벌 기업들 몰린다,"ㆍLG, 토론토인공지능연구소 열고 AI 권위자 ‘다린 그라함’ 박사 영입
ㆍ삼성·구글 딥마인드 연구소 설립…우버·페북은 현지 대학과 공동연구
ㆍ캐나다 40년 전부터 AI 생태계 조성 투자·인력 양성…“기초과학의 힘”



캐나다가 인공지능(AI) 연구의 성지로 떠오르고 있다. LG전자와 삼성전자를 비롯한 국내 기업은 물론 페이스북, 우버 등 글로벌 기업들도 AI 연구를 위해 캐나다에 둥지를 틀고 있다. 정보기술(IT) 혁신의 대표적 요람인 미국의 실리콘밸리를 두고 글로벌 기업들이 AI 연구를 위해 캐나다로 가는 이유는 무엇일까.

LG전자는 지난해 문을 연 캐나다 토론토 인공지능 연구소에 인공지능망 분야의 전문가인 다린 그라함 박사를 영입해 소장으로 선임했다고 29일 밝혔다. 다린 그라함 박사는 세계적인 인공지능 연구기관인 ‘벡터연구소’의 창립 멤버이다.

LG전자는 토론토 인공지능 연구소에서 딥러닝(심층학습)의 핵심인 신경망을 활용해 인공지능 원천기술을 확보하기 위한 다양한 산학과제를 수행하고 있다. LG전자 관계자는 “연구소에서 확보한 기술을 로봇, 가전, 자동차, 에너지 제어 등에 적용할 계획”이라며 “캐나다 현지의 인공지능 스타트업과 협력 또는 투자하는 것도 적극 검토하고 있다”고 말했다. 앞서 LG그룹은 토론토대와 기업용 인공지능 공동연구를 위한 양해각서(MOU)를 지난 22일 체결한 바 있다.

인공지능 연구를 위해 캐나다로 향하는 기업은 비단 LG뿐이 아니다. 미국 실리콘밸리에 기반을 둔 회사들도 인공지능 분야에서만큼은 캐나다행을 택한다.

미국 샌프란시스코에서 설립된 우버는 2017년부터 자율주행차 개발을 위해 캐나다 토론토대와 공동연구를 하고 있다. 그래픽카드를 만드는 엔비디아도 지난해 토론토에 인공지능 연구소를 설립했다. 실리콘밸리에 있는 페이스북도 2년 전부터 몬트리올대 등과 함께 컴퓨터 마우스를 대체할 보이스 기능 프로그램을 연구하고 있다. ‘알파고’로 유명한 구글의 자회사 딥마인드도 2017년 캐나다의 에드먼턴에 연구소를 세웠다. 삼성전자도 지난해 5월 빅스비 연구를 위해 캐나다에 연구소를 설립했다.

인공지능을 연구하는 스타트업 설립과 투자도 활발하다. 코트라는 최근 보고서에서 캐나다 내 관련 투자가 지난해 43건으로 5년 연속 증가세를 유지하고 있으며, 조달된 투자금은 2017년 대비 51% 증가한 4억2000만달러(약 5000억원)라고 전했다. 코트라의 정지원 캐나다 토론토무역관은 “글로벌 기업들은 인공지능 관련 연구기관 및 대학교와 협업 형태로 토론토와 몬트리올에 집중적으로 진출해 있으며, 해당 지역을 연구 거점으로 활용하고 있다”고 말했다.

캐나다에 이 같은 AI 생태계가 형성된 것은 정부의 앞선 정책 덕분이다. 캐나다 정부가 1980년대부터 인공지능 연구에 투자를 하면서 이를 바탕으로 인공지능 연구의 대가들이 배출됐다. 대표적으로 토론토대의 제프리 힌튼 교수, 몬트리올대의 요슈아 벤지오 교수 등이 손꼽힌다. 인공지능 연구 인력과 인프라가 갖춰지면서 ‘생태계’가 조성됐고, 세제혜택과 까다롭지 않은 취업비자 등이 더해지면서 해외 기업을 불러들이고 있다.

장병탁 서울대 컴퓨터공학과 교수는 “캐나다가 AI 연구의 성지가 된 건 연구 인력들이 풍부하기 때문”이라며 “정부가 남들이 하지 않던 시절부터 일찌감치 AI 연구에 투자해 대가를 키워냈다. 지금의 세계적인 AI 연구지가 된 건 기초과학의 힘이라고도 볼 수 있을 것”이라고 말했다.

임지선 기자 vision@kyunghyang.com"
9,경제>자동차 | IT_과학>모바일 | 사회>사회일반,2019/05/23,,"웅진코웨이, AI 공기청정기 알아서 공기질 관리해주니 편하네","최근 공기청정기 시장이 확대되면서 다양한 기능의 공기청정기가 출시되고 있다.

공기청정기 시장이 커지면서 소비자들의 마음을 붙잡기 위한 업체들의 경쟁도 거세지고 있다. 공기청정기에 다양한 기능을 추가하며 소비자들의 이목을 끌고 있다.

글로벌 시장조사업체 GFK에 따르면 국내 공기청정기의 연간 판매량은 2016년 약 70만대 수준에서 지난해 약 180만대로 2배 이상으로 늘었다. 중국발 황사를 비롯해 미세먼지, 환경오염 문제 등이 만연한 상황에서 우리 주위를 둘러싸고 있는 공기의 질을 획기적으로 개선하기에는 한계가 있다. 또 실내에서 공기 질을 관리하는 방법으로 공기청정기 이 외에 마땅한 대안이 없다는 점도 공기청정기 시장 확대에 한몫하고 있다.

국내 공기청정기 1위 기업 웅진코웨이의 ‘액티브액션 공기청정기 IoCare(AP-0818A)’는 오염 변화를 예측하여 미리 청정하는 ‘인공지능 케어 기능’과 공기 토출구가 상하좌우로 자유롭게 회전하는 ‘액티브스윙 기능’을 탑재해 눈길을 끌고 있다.

액티브액션 공기청정기의 인공지능 케어는 인공지능을 적용해 머신러닝 강화 학습을 거쳐 우리 집 공기질 오염 패턴을 학습하고 5분 주기로 미세먼지 변화량을 미리 예측해 오염이 예측되는 시점에 제품 스스로 알아서 실내 공기질을 관리해 주기 때문에 언제나 최적의 공기질 상태를 유지할 수 있다.

또 액티브액션 공기청정기는 제품 헤드부가 상하좌우로 곡선을 그리며 자유롭게 회전하는 혁신적인 액티브스윙 케어로 빠르고 빈틈 없는 강력한 청정이 가능하다.

이 제품은 ‘모션인식 케어’ 기능을 장착해 스스로 움직임이 많은 주 생활 공간을 센싱해 오염 공간을 찾아 집중 청정하는 스마트 제품이다. 인체 모션 감지 센서를 통해 움직임이 많은 주 생활 공간을 파악하고 제품 헤드부가 자동으로 회전해 오염 공간을 효율적으로 집중 케어한다. 또한 인체 동작이 없는 사각지대도 감지해 깨끗하게 청정한다.

또 액티브액션 공기청정기는 사물인터넷을 적용해 사용자가 우리 집 공기질 상태를 한눈에 파악할 수 있게 한다. 스마트폰 애플리케이션을 통해 우리집 미세먼지 현황 및 인공지능 케어 리포트를 확인할 수 있다. 액티브액션 공기청정기 AP-0818A의 월 렌털료는 3만9900원(등록비 10만원 기준)이며 일시불 판매 가격은 105만원이다."
